INFO 2025-09-14 16:18:19,232 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 16:18:21,427 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-09-14 16:18:21,452 basehttp "GET /login/?next=/ HTTP/1.1" 200 38309
INFO 2025-09-14 16:18:21,493 basehttp "GET /static/dashboard/css/style.css HTTP/1.1" 200 3154
INFO 2025-09-14 16:18:21,516 basehttp "GET /static/dashboard/js/main.js HTTP/1.1" 200 8228
INFO 2025-09-14 16:18:24,035 basehttp "GET /login/?next=/ HTTP/1.1" 200 3359
INFO 2025-09-14 16:18:24,226 basehttp "GET /login/?next=/ HTTP/1.1" 200 3359
INFO 2025-09-14 16:18:24,414 basehttp "GET /login/?next=/ HTTP/1.1" 200 3359
INFO 2025-09-14 16:18:24,784 basehttp "GET /login/?next=/ HTTP/1.1" 200 3359
INFO 2025-09-14 16:18:33,023 basehttp "POST /login/?next=/ HTTP/1.1" 302 0
INFO 2025-09-14 16:18:33,111 basehttp "GET /selection/ HTTP/1.1" 200 7059
WARNING 2025-09-14 16:24:59,349 log Not Found: /api/subjects/
WARNING 2025-09-14 16:24:59,350 basehttp "GET /api/subjects/?department=2 HTTP/1.1" 404 6120
INFO 2025-09-14 16:25:01,794 basehttp "POST /selection/ HTTP/1.1" 302 0
INFO 2025-09-14 16:25:01,867 basehttp "GET /dashboard/ HTTP/1.1" 200 10199
INFO 2025-09-14 16:25:01,943 basehttp "GET /static/dashboard/css/style.css HTTP/1.1" 304 0
INFO 2025-09-14 16:25:01,952 basehttp "GET /static/dashboard/js/main.js HTTP/1.1" 304 0
INFO 2025-09-14 16:29:40,147 basehttp "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-09-14 16:29:40,179 basehttp "GET /selection/ HTTP/1.1" 200 7059
INFO 2025-09-14 16:29:53,549 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 16:29:55,195 basehttp "GET / HTTP/1.1" 200 11611
INFO 2025-09-14 16:29:55,245 basehttp "GET /static/dashboard/css/style.css HTTP/1.1" 304 0
INFO 2025-09-14 16:29:55,246 basehttp "GET /static/dashboard/js/main.js HTTP/1.1" 304 0
INFO 2025-09-14 16:30:06,921 basehttp "GET /logout/ HTTP/1.1" 302 0
INFO 2025-09-14 16:30:06,950 basehttp "GET /login/ HTTP/1.1" 200 3359
INFO 2025-09-14 16:30:25,374 basehttp "POST /login/ HTTP/1.1" 200 3586
INFO 2025-09-14 16:30:36,328 basehttp "POST /login/ HTTP/1.1" 302 0
INFO 2025-09-14 16:30:36,407 basehttp "GET /selection/ HTTP/1.1" 200 7059
WARNING 2025-09-14 16:32:10,296 log Not Found: /api/subjects/
WARNING 2025-09-14 16:32:10,299 basehttp "GET /api/subjects/?department=1 HTTP/1.1" 404 6120
INFO 2025-09-14 16:32:11,713 basehttp "POST /selection/ HTTP/1.1" 302 0
INFO 2025-09-14 16:32:11,776 basehttp "GET /dashboard/ HTTP/1.1" 200 10209
INFO 2025-09-14 16:32:11,861 basehttp "GET /static/dashboard/css/style.css HTTP/1.1" 304 0
INFO 2025-09-14 16:32:11,865 basehttp "GET /static/dashboard/js/main.js HTTP/1.1" 304 0
INFO 2025-09-14 16:32:18,784 basehttp "GET / HTTP/1.1" 200 11621
INFO 2025-09-14 16:35:20,358 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 16:35:21,598 basehttp "GET / HTTP/1.1" 200 11585
INFO 2025-09-14 16:35:21,644 basehttp "GET /static/dashboard/css/style.css HTTP/1.1" 304 0
INFO 2025-09-14 16:35:21,645 basehttp "GET /static/dashboard/js/main.js HTTP/1.1" 304 0
INFO 2025-09-14 16:37:56,562 basehttp "GET / HTTP/1.1" 200 11608
INFO 2025-09-14 16:37:56,604 basehttp "GET /static/dashboard/css/style.css HTTP/1.1" 304 0
INFO 2025-09-14 16:37:56,604 basehttp "GET /static/dashboard/js/main.js HTTP/1.1" 304 0
INFO 2025-09-14 16:37:59,145 basehttp "GET /logout/ HTTP/1.1" 302 0
INFO 2025-09-14 16:37:59,166 basehttp "GET /login/ HTTP/1.1" 200 3359
INFO 2025-09-14 16:38:08,291 basehttp "POST /login/ HTTP/1.1" 302 0
INFO 2025-09-14 16:38:08,319 basehttp "GET /selection/ HTTP/1.1" 200 7059
INFO 2025-09-14 19:45:14,173 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 19:45:18,055 basehttp "GET / HTTP/1.1" 200 11582
INFO 2025-09-14 19:45:18,226 basehttp "GET /static/dashboard/css/style.css HTTP/1.1" 304 0
INFO 2025-09-14 19:45:18,229 basehttp "GET /static/dashboard/js/main.js HTTP/1.1" 304 0
WARNING 2025-09-14 19:45:18,787 log Not Found: /favicon.ico
WARNING 2025-09-14 19:45:18,788 basehttp "GET /favicon.ico HTTP/1.1" 404 6101
INFO 2025-09-14 19:45:24,500 basehttp "GET /logout/ HTTP/1.1" 302 0
INFO 2025-09-14 19:45:24,517 basehttp "GET /login/ HTTP/1.1" 200 3359
INFO 2025-09-14 19:45:38,878 basehttp "POST /login/ HTTP/1.1" 200 3586
INFO 2025-09-14 19:45:49,840 basehttp "POST /login/ HTTP/1.1" 302 0
INFO 2025-09-14 19:45:49,861 basehttp "GET /selection/ HTTP/1.1" 200 7059
INFO 2025-09-14 20:09:38,324 basehttp "GET /login/ HTTP/1.1" 302 0
WARNING 2025-09-14 20:12:25,854 log Not Found: /api/subjects/
WARNING 2025-09-14 20:12:25,855 basehttp "GET /api/subjects/?department=1 HTTP/1.1" 404 6120
INFO 2025-09-14 20:12:27,182 basehttp "POST /selection/ HTTP/1.1" 302 0
INFO 2025-09-14 20:12:27,221 basehttp "GET /dashboard/ HTTP/1.1" 200 10209
INFO 2025-09-14 20:12:27,251 basehttp "GET /static/dashboard/css/style.css HTTP/1.1" 304 0
INFO 2025-09-14 20:12:27,253 basehttp "GET /static/dashboard/js/main.js HTTP/1.1" 304 0
INFO 2025-09-14 20:23:19,270 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 20:23:21,268 basehttp "GET / HTTP/1.1" 200 11581
INFO 2025-09-14 20:23:23,473 basehttp "GET /logout/ HTTP/1.1" 302 0
INFO 2025-09-14 20:23:23,481 basehttp "GET /login/ HTTP/1.1" 200 3359
INFO 2025-09-14 20:23:35,638 basehttp "POST /login/ HTTP/1.1" 200 3586
INFO 2025-09-14 20:23:45,305 basehttp "POST /login/ HTTP/1.1" 302 0
INFO 2025-09-14 20:23:45,323 basehttp "GET /selection/ HTTP/1.1" 200 7059
INFO 2025-09-14 20:25:52,808 autoreload C:\Users\Kaustubh\OneDrive\Desktop\College-Site\dashboard\urls.py changed, reloading.
INFO 2025-09-14 20:25:53,557 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 20:26:09,542 autoreload C:\Users\Kaustubh\OneDrive\Desktop\College-Site\dashboard\views.py changed, reloading.
INFO 2025-09-14 20:26:10,275 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 20:28:39,211 autoreload C:\Users\Kaustubh\OneDrive\Desktop\College-Site\dashboard\views.py changed, reloading.
INFO 2025-09-14 20:28:40,111 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 20:29:10,638 autoreload C:\Users\Kaustubh\OneDrive\Desktop\College-Site\dashboard\views.py changed, reloading.
INFO 2025-09-14 20:29:11,399 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 20:29:29,924 autoreload Watching for file changes with StatReloader
INFO 2025-09-14 20:29:31,514 basehttp "GET / HTTP/1.1" 200 11578
INFO 2025-09-14 20:29:33,694 basehttp "GET /logout/ HTTP/1.1" 302 0
